Epoch 0 | Train Loss : 8.141235814094543 | Val Loss : 8.696153764724732
Epoch 1 | Train Loss : 8.08925868988037 | Val Loss : 8.679623146057128
Epoch 2 | Train Loss : 8.052617769241333 | Val Loss : 8.667794933319092
Epoch 3 | Train Loss : 8.060971546173096 | Val Loss : 8.648611450195313
Epoch 4 | Train Loss : 8.0111594581604 | Val Loss : 8.627317113876343
Epoch 5 | Train Loss : 7.996158704757691 | Val Loss : 8.605234746932984
Epoch 6 | Train Loss : 7.969327774047851 | Val Loss : 8.583454875946044
Epoch 7 | Train Loss : 7.938602123260498 | Val Loss : 8.564521408081054
Epoch 8 | Train Loss : 7.940934247970581 | Val Loss : 8.546569347381592
Epoch 9 | Train Loss : 7.912669034004211 | Val Loss : 8.530559902191163
Best Train Loss | 7.912669034004211 | Epoch 9
Best Val Loss | 8.530559902191163 | Epoch 9
