Epoch 0 | Train Loss : 1.2523171186447144 | Val Loss : 0.3027100351452827
Epoch 1 | Train Loss : 0.8348964774608612 | Val Loss : 0.2957512687146664
Epoch 2 | Train Loss : 0.9922571164369584 | Val Loss : 0.295851593464613
Epoch 3 | Train Loss : 0.7826028895378113 | Val Loss : 0.28906454145908356
Epoch 4 | Train Loss : 0.897029510140419 | Val Loss : 0.32620216012001035
Epoch 5 | Train Loss : 0.7769297090172768 | Val Loss : 0.29133338764309885
Epoch 6 | Train Loss : 0.7527963688969612 | Val Loss : 0.35726897984743117
Epoch 7 | Train Loss : 0.7003048834204674 | Val Loss : 0.32651404961943625
Epoch 8 | Train Loss : 0.688735101222992 | Val Loss : 0.2936028580367565
Epoch 9 | Train Loss : 0.7174099615216255 | Val Loss : 0.3042943251132965
Best Train Loss | 0.688735101222992 | Epoch 8
Best Val Loss | 0.28906454145908356 | Epoch 3
