Epoch 0 | Train Loss : 0.40808593183755876 | Val Loss : -0.15940936133265496
Epoch 1 | Train Loss : 0.23067712910473348 | Val Loss : -0.15075812101364136
Epoch 2 | Train Loss : 0.16177425609435886 | Val Loss : -0.08809025548398494
Epoch 3 | Train Loss : 0.10319981430191547 | Val Loss : 0.046999494768679144
Epoch 4 | Train Loss : -0.0024954513926059006 | Val Loss : 0.1278520717099309
Epoch 5 | Train Loss : -0.10586376894963906 | Val Loss : 0.3796826046705246
Epoch 6 | Train Loss : -0.19786526185460387 | Val Loss : 0.6402254718542099
Epoch 7 | Train Loss : -0.2883951635658741 | Val Loss : 0.9195159083604812
Epoch 8 | Train Loss : -0.3617386332154274 | Val Loss : 1.0006461268663407
Epoch 9 | Train Loss : -0.44050895869731904 | Val Loss : 1.2307514762878418
Best Train Loss | -0.44050895869731904 | Epoch 9
Best Val Loss | -0.15940936133265496 | Epoch 0
