Epoch 0 | Train Loss : 0.6452785760164261 | Val Loss : 0.03745387193746865
Epoch 1 | Train Loss : 0.5109772953391075 | Val Loss : -0.20293160244822503
Epoch 2 | Train Loss : 0.39450501412153244 | Val Loss : -0.23250700429081916
Epoch 3 | Train Loss : 0.33346705451607705 | Val Loss : -0.23332787647843362
Epoch 4 | Train Loss : 0.3055468475818634 | Val Loss : -0.22184858083724976
Epoch 5 | Train Loss : 0.28163611702620983 | Val Loss : -0.22220423743128775
Epoch 6 | Train Loss : 0.26852854862809183 | Val Loss : -0.21579625323414803
Epoch 7 | Train Loss : 0.2553509944677353 | Val Loss : -0.21244284093379975
Epoch 8 | Train Loss : 0.2304689472168684 | Val Loss : -0.21067668437957765
Epoch 9 | Train Loss : 0.23231274344027042 | Val Loss : -0.21171092107892037
Best Train Loss | 0.2304689472168684 | Epoch 8
Best Val Loss | -0.23332787647843362 | Epoch 3
