Epoch 0 | Train Loss : 0.44593300342559816 | Val Loss : -0.15755168482661247
Epoch 1 | Train Loss : 0.2431081259250641 | Val Loss : -0.19644475489854812
Epoch 2 | Train Loss : 0.1885756614804268 | Val Loss : -0.18880544036626815
Epoch 3 | Train Loss : 0.14399789885734207 | Val Loss : -0.13319281861186028
Epoch 4 | Train Loss : 0.08951049158815294 | Val Loss : -0.08370764292776585
Epoch 5 | Train Loss : 0.03905602980288677 | Val Loss : -0.03910255795810372
Epoch 6 | Train Loss : -0.0079880984663032 | Val Loss : -0.00822444910183549
Epoch 7 | Train Loss : -0.04972234023618512 | Val Loss : 0.05546770013228525
Epoch 8 | Train Loss : -0.09035329671227373 | Val Loss : 0.13946886397898198
Epoch 9 | Train Loss : -0.13039308826904744 | Val Loss : 0.20408174082636832
Best Train Loss | -0.13039308826904744 | Epoch 9
Best Val Loss | -0.19644475489854812 | Epoch 1
