Epoch 0 | Train Loss : 0.7423595893383026 | Val Loss : 0.30006237581372264
Epoch 1 | Train Loss : 0.7381839370727539 | Val Loss : 0.290604492276907
Epoch 2 | Train Loss : 0.7462205141782761 | Val Loss : 0.2820676279067993
Epoch 3 | Train Loss : 0.7350035980343819 | Val Loss : 0.27638502284884453
Epoch 4 | Train Loss : 0.7265036547183991 | Val Loss : 0.2709739683568478
Epoch 5 | Train Loss : 0.7087513875961303 | Val Loss : 0.2653080835938454
Epoch 6 | Train Loss : 0.7043092396855354 | Val Loss : 0.2620916943252087
Epoch 7 | Train Loss : 0.7160182788968086 | Val Loss : 0.25871713981032374
Epoch 8 | Train Loss : 0.7044323256611824 | Val Loss : 0.2547526055574417
Epoch 9 | Train Loss : 0.712883748114109 | Val Loss : 0.2529358524084091
Best Train Loss | 0.7043092396855354 | Epoch 6
Best Val Loss | 0.2529358524084091 | Epoch 9
