Epoch 0 | Train Loss : 0.733263872563839 | Val Loss : 0.2641475573182106
Epoch 1 | Train Loss : 0.7197790011763573 | Val Loss : 0.25039474323391914
Epoch 2 | Train Loss : 0.6943451809883118 | Val Loss : 0.24402679085731507
Epoch 3 | Train Loss : 0.7023533809185029 | Val Loss : 0.23762982353568077
Epoch 4 | Train Loss : 0.6781746479868889 | Val Loss : 0.2335491620004177
Epoch 5 | Train Loss : 0.6579670000076294 | Val Loss : 0.23047840744256973
Epoch 6 | Train Loss : 0.674242732822895 | Val Loss : 0.22580079808831216
Epoch 7 | Train Loss : 0.6880552917718887 | Val Loss : 0.22283238679170608
Epoch 8 | Train Loss : 0.6801690337061882 | Val Loss : 0.2202601857483387
Epoch 9 | Train Loss : 0.6601392215490341 | Val Loss : 0.21587371543049813
Best Train Loss | 0.6579670000076294 | Epoch 5
Best Val Loss | 0.21587371543049813 | Epoch 9
