Epoch 0 | Train Loss : 0.5150350768864155 | Val Loss : -0.22007377997040747
Epoch 1 | Train Loss : 0.29234574019908904 | Val Loss : -0.18852876469492913
Epoch 2 | Train Loss : 0.23691896308213473 | Val Loss : -0.19088602393865586
Epoch 3 | Train Loss : 0.19569961046800016 | Val Loss : -0.18791741698980333
Epoch 4 | Train Loss : 0.1796898789331317 | Val Loss : -0.15241946548223495
Epoch 5 | Train Loss : 0.15783068821765484 | Val Loss : -0.13632076628506185
Epoch 6 | Train Loss : 0.13167831285856665 | Val Loss : -0.13545257464051247
Epoch 7 | Train Loss : 0.09907406864222139 | Val Loss : -0.1258549816906452
Epoch 8 | Train Loss : 0.08588416534010321 | Val Loss : -0.13220765583217145
Epoch 9 | Train Loss : 0.07257446941104717 | Val Loss : -0.10143593534827232
Best Train Loss | 0.07257446941104717 | Epoch 9
Best Val Loss | -0.22007377997040747 | Epoch 0
