Epoch 0 | Train Loss : 0.4123321634531021 | Val Loss : -0.17315930217504502
Epoch 1 | Train Loss : 0.20766458414494993 | Val Loss : -0.20769513100385667
Epoch 2 | Train Loss : 0.15222906105220319 | Val Loss : -0.1445847237855196
Epoch 3 | Train Loss : 0.0893897349247709 | Val Loss : -0.07954509064555168
Epoch 4 | Train Loss : 0.018950367752695457 | Val Loss : 0.07206949503161013
Epoch 5 | Train Loss : -0.06771572099765763 | Val Loss : 0.14840675324201583
Epoch 6 | Train Loss : -0.09881332824472339 | Val Loss : 0.21555408000946044
Epoch 7 | Train Loss : -0.1649896212015301 | Val Loss : 0.414848048388958
Epoch 8 | Train Loss : -0.22101353170350194 | Val Loss : 0.5745206987857818
Epoch 9 | Train Loss : -0.24498789198696613 | Val Loss : 0.6165739744901657
Best Train Loss | -0.24498789198696613 | Epoch 9
Best Val Loss | -0.20769513100385667 | Epoch 1
