Epoch 0 | Train Loss : 0.6131970995664596 | Val Loss : -0.09772041492164135
Epoch 1 | Train Loss : 0.39049082025885584 | Val Loss : -0.11426917761564255
Epoch 2 | Train Loss : 0.3099451495707035 | Val Loss : -0.13495235040783882
Epoch 3 | Train Loss : 0.2752049317955971 | Val Loss : -0.14702483266592026
Epoch 4 | Train Loss : 0.2519354282319546 | Val Loss : -0.16998083040118217
Epoch 5 | Train Loss : 0.2343306929245591 | Val Loss : -0.17233438178896904
Epoch 6 | Train Loss : 0.2174655494838953 | Val Loss : -0.18025198683142662
Epoch 7 | Train Loss : 0.20011097215116025 | Val Loss : -0.1797188088297844
Epoch 8 | Train Loss : 0.18255100563168525 | Val Loss : -0.18001964658498765
Epoch 9 | Train Loss : 0.18289054106920957 | Val Loss : -0.17591010197997092
Best Train Loss | 0.18255100563168525 | Epoch 8
Best Val Loss | -0.18025198683142662 | Epoch 6
