Epoch 0 | Train Loss : 0.4673460741341114 | Val Loss : -0.17558230578899384
Epoch 1 | Train Loss : 0.24832314267754554 | Val Loss : -0.1811562468111515
Epoch 2 | Train Loss : 0.1936333943530917 | Val Loss : -0.14107211276888848
Epoch 3 | Train Loss : 0.17060781240463258 | Val Loss : -0.09469618208706379
Epoch 4 | Train Loss : 0.12396739084433647 | Val Loss : -0.09013651367276906
Epoch 5 | Train Loss : 0.07892072181566619 | Val Loss : -0.012999299955554306
Epoch 6 | Train Loss : 0.03257089496124536 | Val Loss : -0.002178608947433531
Epoch 7 | Train Loss : 0.019404924131231384 | Val Loss : 0.031081271301954986
Epoch 8 | Train Loss : -0.02138604181353003 | Val Loss : 0.05553289309726097
Epoch 9 | Train Loss : -0.04294638160150498 | Val Loss : 0.10189277537167073
Best Train Loss | -0.04294638160150498 | Epoch 9
Best Val Loss | -0.1811562468111515 | Epoch 1
