Epoch 0 | Train Loss : 0.7259151023626328 | Val Loss : 0.2855782741308212
Epoch 1 | Train Loss : 0.7200465366244316 | Val Loss : 0.2851480706036091
Epoch 2 | Train Loss : 0.7403082218766213 | Val Loss : 0.28419014379382135
Epoch 3 | Train Loss : 0.7407382440567016 | Val Loss : 0.2821017870306969
Epoch 4 | Train Loss : 0.7151381155848503 | Val Loss : 0.28202026322484014
Epoch 5 | Train Loss : 0.70972640812397 | Val Loss : 0.28143855020403863
Epoch 6 | Train Loss : 0.7289819368720054 | Val Loss : 0.27966836363077163
Epoch 7 | Train Loss : 0.7161495688557625 | Val Loss : 0.2798639638721943
Epoch 8 | Train Loss : 0.7131884971261024 | Val Loss : 0.27955980122089386
Epoch 9 | Train Loss : 0.7252152994275093 | Val Loss : 0.2779666876792908
Best Train Loss | 0.70972640812397 | Epoch 5
Best Val Loss | 0.2779666876792908 | Epoch 9
