Epoch 0 | Train Loss : 0.7469422364234924 | Val Loss : 0.2690082383155823
Epoch 1 | Train Loss : 0.7190528672933578 | Val Loss : 0.26805832296609877
Epoch 2 | Train Loss : 0.7313554444909096 | Val Loss : 0.2650267830491066
Epoch 3 | Train Loss : 0.7160805720090866 | Val Loss : 0.2645863066613674
Epoch 4 | Train Loss : 0.7023814433813095 | Val Loss : 0.2644003900885582
Epoch 5 | Train Loss : 0.724688013792038 | Val Loss : 0.26183104008436203
Epoch 6 | Train Loss : 0.7132698351144791 | Val Loss : 0.2615986780822277
Epoch 7 | Train Loss : 0.7177317279577256 | Val Loss : 0.26148230224847796
Epoch 8 | Train Loss : 0.7009847703576088 | Val Loss : 0.25935227364301683
Epoch 9 | Train Loss : 0.717995613515377 | Val Loss : 0.2595674155652523
Best Train Loss | 0.7009847703576088 | Epoch 8
Best Val Loss | 0.25935227364301683 | Epoch 8
