Epoch 0 | Train Loss : 1.0638604044914246 | Val Loss : 0.3172405868768692
Epoch 1 | Train Loss : 0.791196351647377 | Val Loss : 0.30148945301771163
Epoch 2 | Train Loss : 0.7622939729690552 | Val Loss : 0.2954342521727085
Epoch 3 | Train Loss : 0.8254141113162041 | Val Loss : 0.3098627369105816
Epoch 4 | Train Loss : 0.7489573049545288 | Val Loss : 0.3180301856994629
Epoch 5 | Train Loss : 0.8913876616954803 | Val Loss : 0.2987559877336025
Epoch 6 | Train Loss : 0.7290178635716438 | Val Loss : 0.31226711854338646
Epoch 7 | Train Loss : 0.7088552531599999 | Val Loss : 0.29659228563308715
Epoch 8 | Train Loss : 0.7033072528243065 | Val Loss : 0.2962254938483238
Epoch 9 | Train Loss : 0.6971243378520012 | Val Loss : 0.2989958319067955
Best Train Loss | 0.6971243378520012 | Epoch 9
Best Val Loss | 0.2954342521727085 | Epoch 2
