Epoch 0 | Train Loss : 0.7324137932062149 | Val Loss : 0.2724609614908695
Epoch 1 | Train Loss : 0.7054442554712296 | Val Loss : 0.2695557227730751
Epoch 2 | Train Loss : 0.7211956831812859 | Val Loss : 0.2684687975049019
Epoch 3 | Train Loss : 0.7230679282546043 | Val Loss : 0.26710338428616526
Epoch 4 | Train Loss : 0.7190294027328491 | Val Loss : 0.26481217592954637
Epoch 5 | Train Loss : 0.707287540435791 | Val Loss : 0.26435077622532843
Epoch 6 | Train Loss : 0.7100986114144325 | Val Loss : 0.26350527971982957
Epoch 7 | Train Loss : 0.7183605253696441 | Val Loss : 0.26158284217119215
Epoch 8 | Train Loss : 0.7121461763978004 | Val Loss : 0.2615056708455086
Epoch 9 | Train Loss : 0.7166133469343186 | Val Loss : 0.2610343697667122
Best Train Loss | 0.7054442554712296 | Epoch 1
Best Val Loss | 0.2610343697667122 | Epoch 9
