Epoch 0 | Train Loss : 0.7360753029584884 | Val Loss : 0.3080903016030788
Epoch 1 | Train Loss : 0.7554743355512619 | Val Loss : 0.3040379333496094
Epoch 2 | Train Loss : 0.7226994931697845 | Val Loss : 0.30216966778039933
Epoch 3 | Train Loss : 0.7463655388355255 | Val Loss : 0.30005226135253904
Epoch 4 | Train Loss : 0.7465219610929489 | Val Loss : 0.2970831805467606
Epoch 5 | Train Loss : 0.7398421627283096 | Val Loss : 0.2961805064976215
Epoch 6 | Train Loss : 0.7406904584169388 | Val Loss : 0.2948985250294209
Epoch 7 | Train Loss : 0.7348180279135704 | Val Loss : 0.2925839388370514
Epoch 8 | Train Loss : 0.723446789085865 | Val Loss : 0.29224541679024696
Epoch 9 | Train Loss : 0.7388059419393539 | Val Loss : 0.2914633183181286
Best Train Loss | 0.7226994931697845 | Epoch 2
Best Val Loss | 0.2914633183181286 | Epoch 9
