Epoch 0 | Train Loss : 0.47185836181044577 | Val Loss : -0.16967426970601082
Epoch 1 | Train Loss : 0.2633703814446926 | Val Loss : -0.16587957993149757
Epoch 2 | Train Loss : 0.21284691754728555 | Val Loss : -0.20423549368977548
Epoch 3 | Train Loss : 0.18328691978007555 | Val Loss : -0.18194106340408325
Epoch 4 | Train Loss : 0.13924106874968856 | Val Loss : -0.17252630934119226
Epoch 5 | Train Loss : 0.0990503513868316 | Val Loss : -0.100294394120574
Epoch 6 | Train Loss : 0.07416253698524088 | Val Loss : -0.09047415543347598
Epoch 7 | Train Loss : 0.02727117475471459 | Val Loss : -0.05821252893656492
Epoch 8 | Train Loss : 0.009276112346742593 | Val Loss : -0.021973511334508658
Epoch 9 | Train Loss : -0.037264529128733556 | Val Loss : 0.007743614194914698
Best Train Loss | -0.037264529128733556 | Epoch 9
Best Val Loss | -0.20423549368977548 | Epoch 2
