Epoch 0 | Train Loss : 0.7117951887845994 | Val Loss : 0.22219549298286437
Epoch 1 | Train Loss : 0.6634519839286804 | Val Loss : 0.17905422613024713
Epoch 2 | Train Loss : 0.6245262971520424 | Val Loss : 0.12975258342921733
Epoch 3 | Train Loss : 0.5868033555150032 | Val Loss : 0.07562378446571529
Epoch 4 | Train Loss : 0.551843369603157 | Val Loss : 0.01841636572033167
Epoch 5 | Train Loss : 0.5294266912341118 | Val Loss : -0.03771924912929535
Epoch 6 | Train Loss : 0.5111063992977143 | Val Loss : -0.0883462943509221
Epoch 7 | Train Loss : 0.4756866440176964 | Val Loss : -0.127889224588871
Epoch 8 | Train Loss : 0.4649379879236221 | Val Loss : -0.15814670965075492
Epoch 9 | Train Loss : 0.43755355328321455 | Val Loss : -0.1780983591079712
Best Train Loss | 0.43755355328321455 | Epoch 9
Best Val Loss | -0.1780983591079712 | Epoch 9
