Epoch 0 | Train Loss : 0.7530332386493683 | Val Loss : 0.2955127689242363
Epoch 1 | Train Loss : 0.7027662813663482 | Val Loss : 0.30746147558093073
Epoch 2 | Train Loss : 0.7011608403921127 | Val Loss : 0.296558244228363
Epoch 3 | Train Loss : 0.7136621707677842 | Val Loss : 0.30377559080719946
Epoch 4 | Train Loss : 0.6926818868517876 | Val Loss : 0.3345824792981148
Epoch 5 | Train Loss : 0.6567888888716698 | Val Loss : 0.2991950187087059
Epoch 6 | Train Loss : 0.6811213541030884 | Val Loss : 0.3003948602080345
Epoch 7 | Train Loss : 0.694598902463913 | Val Loss : 0.29687837824225427
Epoch 8 | Train Loss : 0.683905371427536 | Val Loss : 0.30445917636156083
Epoch 9 | Train Loss : 0.6950337687134742 | Val Loss : 0.29918392464518545
Best Train Loss | 0.6567888888716698 | Epoch 5
Best Val Loss | 0.2955127689242363 | Epoch 0
